"site_no","drainage_area"
"01094400",64.2
"01094500",110
"01095220",29.1
"01095375",46.3
"01095434",3.13
"01095503",110
"01096000",65.9
"01096500",435
"01097000",116
"01097300",12.8
"01098500",17.5
"01098530",106
"01099500",400
"01100000",4
"01100500",4
"01100561",62.1
"01100568",2.13
"01100600",36.5
"01100627",72.8
"01100693",4
"01100870",0
"01101000",21.3
"01101500",44.5
"01102000",125
"01102345",20.8
"01102500",24.5
"01103025",8.36
"01103050",62.7
"01103280",65.7
"01103455",3.72
"01103500",183
"01104000",0
"01104200",211
"01104370",10.2
"01104410",0.35
"01104415",0.41
"01104420",0.73
"01104430",6.86
"01104455",0.48
"01104460",22
"01104475",0.85
"01104480",23.7
"01104500",251
"01104501",11.3
"01104683",5.93
"01104705",0
"01104715",335
"01105000",34.7
"01105500",27.2
"01105554",83.7
"01105583",28.7
"01105584",0
"01105585",4.11
"01105600",4.5
"01105606",12.4
"01105607",12.4
"01105608",12.5
"01105638",14.1
"01105730",30.3
"01105870",19.8
"01105876",14.7
"01105880",9.4
"01105917",24
"01105933",26.2
"01108000",261
"01108410",43.5
"01109000",43.3
"01109060",84.3
"01109070",10.6
"01109403",53.1
"01109730",71.4
"01110000",25.6
"01110500",141
"01111212",244
"01111300",16
"01111500",91.2
"01112500",416
"01113895",474
"01114000",23.1
"01114500",38.3
"01115098",4.96
"01115110",6.23
"01115114",4.7
"01115170",3.25
"01115183",1.96
"01115184",1.22
"01115185",4.32
"01115187",14.4
"01115190",4.9
"01115265",8.72
"01115275",0.62
"01115276",5.18
"01115278",1.91
"01115280",1.79
"01115297",4.32
"01115500",102
"01115630",8.23
"01116000",62.8
"01116500",200
"01116905",16
"01117000",22.9
"01117350",9.59
"01117370",19.6
"01117420",36.1
"01117430",72.7
"01117468",8.87
"01117500",100
"01117800",35.2
"01118000",72.4
"01118500",295
"01123360",62.6
"01123600",94.4
"01162000",81.8
"01162500",19.4
"01163200",34.1
"01166500",372
"01168250",6.47
"01168500",361
"01169000",89
"01169900",24.1
"01170000",557
"01170100",41.4
"01161280",7
"01170500",7
"01171000",0
"01171100",0
"01171500",52.6
"01172010",8
"01172500",55.1
"01173000",96.3
"01173500",197
"01174500",43.7
"01174565",12.6
"01175500",189
"01175670",8.81
"01176000",150
"01177000",689
"01179500",161
"01181000",94
"01183500",497
"01185500",91.7
"01197000",57.6
"01197145",171
"01197500",282
"01198000",51
"01198125",465
"01331500",46.7
"01332500",126
"01333000",42.6
